TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2018-09-06,HOOTSUITE MEDIA INC.,10085250,Project Programme Expenditure,1500
2018-09-10,SHL GROUP LTD,10085520,Recruitment & advertising charges,1080
2018-09-17,CHARTERED INSTITUTE OF,10085520,Staff training: Region & HQ Admin,660
2018-09-17,WWW.PMGLTD.CO.UK,10085520,Staff training: Region & HQ Admin,1068
2018-09-18,CIVIL SERVICE LEARNING,10085520,Staff training: Region & HQ Admin,1792.2
2018-09-27,PENTAGON,10085520,Staff training: Region & HQ Admin,988.22
2018-09-28,WWW.ERASMUS.GR,10085520,Staff training: Region & HQ Admin,596.5
2018-09-20,SURVEYMONKEY,10085820,Subscriptions to pro bodies,900
2018-09-07,CREIGIAU TRAVEL LIMITE,10085721,Project Programme Expenditure,585
2018-09-25,WWW.WESTMINSTER-BRIEFI,10085721,Staff training: Corp Strategy,2160
2018-09-25,DRI QLIKTECH  INC,10085510,IT Software Licences,676.93
2018-09-27,PAYPAL  CAMPDENBRIC,10085723,Staff training: Region & HQ Admin,1050
2018-09-28,ZOHOCORP BV,10085541,IT Software Licences,1698.42
2018-09-12,MIND WISE NEW VISION,10085820,Staff training: Region & HQ Admin,1980
2018-09-13,ENERGIA,10085820,Utilities,659.37
2018-09-17,BELFAST MET  CENTRAL A,10085820,Staff training: Corp Strategy,630
2018-09-18,INSTITUTE OF ACCOUNTIN,10085820,Staff training: Region & HQ Admin,594
2018-09-18,ST ERMIN'S HOTEL,10085450,Conference & meeting facilities,650
